epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
1,2.8461,,0.0288,0.1036,0.0302,0.0146,0.0001,253.0
2,2.5047,,0.0685,0.2251,0.0657,0.025,0.0001,255.6
3,2.3152,,0.0709,0.2567,0.0706,0.0298,0.0001,255.5
4,2.2683,,0.0782,0.3264,0.1056,0.049,0.0001,255.6
5,2.1934,,0.0717,0.3189,0.0945,0.0415,0.0001,257.5
6,2.1491,,0.0809,0.3374,0.0931,0.0387,0.0001,256.7
7,2.0797,,0.0772,0.3753,0.1343,0.0562,0.0001,256.1
8,2.0072,,0.0736,0.3791,0.1406,0.0603,0.0001,256.6
9,1.9885,,0.082,0.3924,0.1357,0.0583,0.0001,257.5
10,1.9539,,0.0778,0.4543,0.163,0.0695,0.0001,256.8
11,1.9262,,0.0734,0.4656,0.168,0.0737,0.0001,258.0
12,1.8898,,0.0866,0.4418,0.18,0.0813,0.0001,258.0
13,1.8756,,0.09,0.4404,0.1759,0.0777,0.0001,258.1
14,1.8447,,0.0871,0.441,0.1722,0.0756,0.0001,258.2
15,1.8441,,0.083,0.4635,0.1764,0.0795,0.0001,257.4
16,1.8057,,0.0856,0.4751,0.1867,0.0817,0.0001,257.0
17,1.7877,,0.0821,0.5029,0.1994,0.0958,0.0001,258.3
18,1.7586,,0.0907,0.487,0.2156,0.0949,0.0001,257.2
19,1.7542,,0.0859,0.4988,0.1992,0.0935,0.0001,258.1
20,1.7314,,0.0938,0.4907,0.2054,0.0966,0.0001,258.9
21,1.7069,,0.0931,0.5162,0.2138,0.0973,0.0001,258.1
22,1.6807,,0.0923,0.4852,0.213,0.1025,0.0001,256.6
23,1.6519,,0.083,0.537,0.2498,0.1168,0.0001,258.4
24,1.6359,,0.0949,0.5388,0.2623,0.1247,0.0001,258.4
25,1.6258,,0.0999,0.5009,0.2262,0.1059,0.0001,258.4
26,1.6118,,0.0748,0.5399,0.2362,0.1068,0.0001,259.1
27,1.6114,,0.0769,0.5359,0.2275,0.1059,0.0001,257.7
28,1.5999,,0.0916,0.5422,0.2551,0.1198,0.0001,258.6
29,1.5812,,0.0932,0.5472,0.2779,0.1376,0.0001,256.8
30,1.5601,,0.0943,0.5284,0.2519,0.1186,0.0001,258.4
31,1.5478,,0.104,0.5246,0.2604,0.1264,0.0001,259.0
32,1.5295,,0.1006,0.5333,0.2716,0.1302,0.0001,258.1
33,1.52,,0.1048,0.5258,0.2746,0.1353,0.0001,257.9
34,1.5001,,0.0932,0.5593,0.2786,0.1339,0.0001,258.7
35,1.4896,,0.1098,0.5211,0.2738,0.1363,0.0001,258.4
36,1.4942,,0.1122,0.5069,0.268,0.1321,0.0001,257.6
37,1.4716,,0.1112,0.5072,0.2702,0.1264,0.0001,258.5
38,1.4818,,0.1054,0.5217,0.2611,0.1241,0.0001,259.1
39,1.4589,,0.1056,0.502,0.254,0.1233,0.0001,258.8
40,1.4346,,0.1143,0.5214,0.2823,0.1335,0.0001,258.4
41,1.4217,,0.1133,0.5229,0.2756,0.1348,0.0001,258.0
42,1.4011,,0.1259,0.5289,0.2816,0.1384,0.0001,258.4
43,1.3868,,0.1177,0.533,0.2911,0.1388,0.0001,258.0
44,1.3785,,0.1103,0.5333,0.2824,0.1338,0.0001,257.7
45,1.3807,,0.1246,0.5339,0.2849,0.1375,0.0001,257.9
46,1.3545,,0.1237,0.5405,0.3158,0.1557,0.0001,259.3
47,1.3444,,0.1152,0.522,0.2831,0.1404,0.0001,258.6
48,1.3249,,0.1302,0.5425,0.2949,0.142,0.0001,260.3
49,1.3156,,0.1197,0.5448,0.304,0.1503,0.0001,259.0
50,1.3109,,0.1378,0.5095,0.2992,0.1434,0.0001,258.8
51,1.3101,,0.1239,0.5226,0.2968,0.148,0.0001,257.8
52,1.2962,,0.1252,0.5246,0.287,0.1437,0.0001,259.4
53,1.2754,,0.1383,0.5017,0.2849,0.1436,0.0001,257.4
54,1.2706,,0.1126,0.5281,0.2817,0.1377,0.0001,258.6
55,1.2535,,0.123,0.5321,0.2968,0.1484,0.0001,259.0
56,1.2318,,0.1553,0.4812,0.2887,0.1391,0.0001,259.0
57,1.2367,,0.126,0.5333,0.2958,0.1421,0.0001,259.1
58,1.2255,,0.1475,0.4916,0.3128,0.1611,0.0001,258.2
59,1.2047,,0.1336,0.5324,0.303,0.1536,0.0001,259.1
60,1.1834,,0.1418,0.5194,0.309,0.1587,0.0001,257.2
61,1.1818,,0.129,0.5304,0.3053,0.1546,0.0001,258.9
